"SRR1382274"	"SRR1382275"	"SRR1382276"	"SRR1382277"	"SRR1382278"	"SRR1382279"	"SRR1382280"	"SRR1382281"	"SRR1382282"
481	2559	878	1220	1992	653	602	1249	595
319	622	432	810	999	838	602	510	281
0	0	1	0	0	7	9	0	1
93	138	61	109	180	224	135	92	87
172	160	190	221	226	186	229	114	187
53	187	314	259	27	9	194	31	20
44	49	18	38	34	56	48	25	39
0	15	15	23	10	4	1	54	0
34	62	40	54	281	347	103	41	47
59	209	133	168	246	192	206	225	228
3	3	19	7	1	8	3	0	0
29	92	42	41	93	75	125	77	52
77	82	33	80	42	54	66	33	79
19	39	37	84	39	34	31	25	52
0	1	0	0	0	4	0	0	0
517	595	514	596	875	615	641	390	703
4	5	12	2	40	11	3	22	4
23	62	39	28	46	40	38	35	16
31	24	77	47	46	36	28	77	39
0	4	2	0	2	2	2	1	0
56	59	103	178	304	67	222	485	118
0	1	4	0	2	0	3	2	4
2	15	2	2	13	4	1	16	1
14	142	109	47	79	12	32	52	44
131	134	79	183	199	183	468	201	341
16	68	21	8	34	27	22	23	27
0	0	0	15	0	0	0	0	0
90	269	190	121	503	240	147	249	190
7	17	2	5	14	16	11	21	20
41	51	35	25	17	39	86	56	30
34	65	55	42	94	37	20	80	27
31	70	52	87	62	48	42	51	84
3	1	0	2	7	0	7	3	0
5	48	36	46	46	32	47	11	43
311	305	170	209	497	200	399	253	342
5	29	8	23	36	20	30	20	22
88	70	24	67	66	51	94	15	21
15	21	17	21	20	13	27	9	24
0	0	2	3	0	0	0	0	0
79	262	276	196	60	38	85	61	1320
31	35	28	91	106	42	42	166	36
52	412	70	41	20	553	402	18	29
0	0	0	0	0	0	4	0	0
6	35	7	2	38	17	10	8	11
174	154	172	52	775	32	373	142	450
64	196	91	166	241	74	68	319	71
33	33	23	37	44	40	17	31	23
1	0	5	6	14	4	33	14	15
0	0	0	12	0	0	0	0	0
81	210	77	136	69	91	234	67	134
84	94	100	140	219	265	261	113	91
1311	1625	1999	1745	2354	3203	1610	4393	2868
128	249	195	285	636	436	273	395	324
0	3	0	0	3	13	0	1	0
165	276	75	61	416	178	312	72	113
6862	4648	3395	5236	3274	2468	6838	1719	2231
0	4	10	0	0	1	0	0	0
206	1723	582	1096	882	1125	975	1169	1135
8	41	41	17	19	51	42	13	24
0	139	0	0	0	0	0	4	0
14	111	115	164	63	58	310	40	35
3	22	15	17	29	49	24	17	50
323	429	315	449	555	407	541	470	356
0	1	2	4	6	15	4	12	2
1	14	19	4	38	24	11	22	15
28	95	32	38	85	76	55	46	53
5	40	52	14	43	91	64	67	56
11	76	35	32	121	47	26	65	34
2719	9250	4465	3976	9241	3841	5555	6518	4410
7	12	45	37	50	33	22	115	111
153	242	251	413	473	498	375	334	559
22	78	76	156	188	102	75	147	169
159	119	295	183	75	133	195	0	65
0	8	9	11	5	2	10	3	5
4	10	0	17	6	2	8	15	10
7	39	12	19	115	46	28	88	42
493	1120	688	442	600	1416	677	334	341
0	10	4	0	4	5	2	5	5
64	18	26	45	28	13	15	18	11
5	91	51	34	29	32	35	20	8
0	35	1	5	0	0	0	0	4
19	38	60	28	63	31	68	87	28
2	6	13	18	14	2	11	32	1
286	421	106	227	276	282	226	192	93
77	339	53	50	194	55	113	119	73
18	37	11	25	11	11	6	21	7
11	12	15	3	12	5	5	12	4
0	1	0	0	0	1	1	0	0
58	54	69	72	66	60	30	70	106
3	1	37	4	3	6	3	8	0
139	375	218	207	186	241	308	277	128
12	46	36	25	64	24	14	36	19
212	226	196	145	273	639	600	324	255
0	12	6	14	14	5	5	7	9
83	16	13	41	33	5	57	23	35
15	34	22	10	49	23	23	20	22
0	1	10	16	31	30	0	1	11
0	5	0	1	5	4	7	9	4
24	47	62	45	101	36	71	127	34
0	3	2	2	0	4	0	0	2
3	2	6	7	3	5	6	10	6
39	23	29	20	24	83	87	21	30
2	8	12	25	55	117	19	18	51
0	12	0	6	33	32	7	27	8
0	0	0	0	2	0	0	0	0
0	0	0	0	0	2	1	0	0
160	61	51	43	153	126	207	120	44
194	298	135	149	262	143	91	124	73
7	40	126	395	91	113	225	12	21
38	20	11	13	22	18	16	43	35
79	206	126	369	244	426	156	106	129
193	291	176	156	253	207	330	173	169
352	64	104	160	263	190	78	54	151
9	12	10	12	12	4	0	5	1
8	6	18	1	10	6	8	0	2
110	177	172	136	218	154	117	225	112
1	3	5	1	5	3	6	5	0
0	35	0	0	0	0	0	0	0
4	27	32	12	16	27	21	7	28
6	54	28	14	7	27	26	10	8
1155	2092	243	1493	4486	1017	1032	1641	1358
77	76	37	50	118	35	47	31	23
1	2	1	2	10	11	4	6	3
70	102	73	93	201	99	129	80	111
199	232	214	244	289	245	398	182	198
3	4	3	8	6	0	1	13	13
168	794	421	623	157	132	794	72	107
0	1	5	0	0	0	7	4	0
0	13	1	0	10	2	7	3	1
15	87	35	69	55	56	26	28	24
2	1	1	0	1	3	2	0	0
53	13	24	36	23	31	29	21	9
56	155	47	132	109	77	55	77	32
166	188	269	317	448	234	301	227	275
70	84	26	24	54	34	41	47	66
632	1007	1370	978	2250	2549	1130	2389	2533
9	16	3	7	15	21	4	9	3
787	1160	868	1332	1632	829	794	907	1113
27	26	16	25	32	6	6	16	9
175	608	146	314	392	545	339	135	207
27	65	35	32	68	49	41	62	27
141	59	104	234	64	72	91	139	73
49	124	38	148	121	181	157	30	121
18	39	17	42	38	26	31	28	49
80	170	31	13	133	20	52	67	23
178	402	471	535	468	534	447	266	296
0	28	4	29	99	75	13	0	2
247	353	190	283	367	406	397	402	401
0	18	1	0	1	21	0	0	9
0	0	3	0	7	19	7	2	0
14	59	91	62	133	41	35	249	57
1	12	12	28	6	5	18	6	0
17	25	41	26	12	23	13	26	39
288	292	84	224	159	179	192	332	146
9	24	15	33	54	31	14	32	25
21	39	31	63	41	28	39	33	41
0	1	5	3	1	0	2	4	1
17	29	23	20	12	13	13	30	15
696	71	27	71	96	136	155	25	68
2	21	19	34	27	20	12	56	11
67	190	86	117	186	94	105	175	100
7	13	21	40	32	37	17	3	13
119	150	36	54	122	95	97	64	80
1	6	0	2	1	2	2	2	2
27	49	28	52	52	33	34	40	34
1	7	0	9	2	1	3	2	0
34	22	42	18	31	33	6	15	14
42	119	73	79	147	130	101	55	74
17	19	19	15	13	12	37	16	23
122	265	122	113	119	209	167	144	232
1	6	0	2	0	0	3	0	0
0	2	0	0	1	9	1	0	4
22	185	49	80	62	139	123	140	79
312	489	389	267	1126	654	2483	206	1182
26	71	32	58	40	37	18	22	26
262	560	964	978	2045	932	1029	1717	926
217	165	117	318	607	120	487	479	454
52	191	238	248	312	759	270	233	446
0	3	4	0	0	0	0	0	0
0	0	0	1	1	2	2	0	4
10	4	9	6	5	2	15	0	1
98	129	14	18	144	59	89	19	89
42	35	62	91	54	14	17	57	75
137	92	73	76	238	97	125	113	121
30	36	23	41	24	38	26	36	18
0	0	3	2	0	0	2	0	3
3	5	0	1	3	1	7	3	4
0	8	6	5	2	4	9	2	0
15	18	8	46	22	20	14	27	19
35	205	53	119	135	129	200	83	91
15	15	2	28	6	9	2	1	7
8	8	0	7	21	6	9	1	13
19	10	10	23	56	10	23	14	25
223	1607	650	855	1497	931	1004	865	529
0	4	6	11	9	14	2	0	0
8	2	0	0	7	2	20	2	0
15	11	5	11	34	7	30	6	27
38	87	23	178	38	59	77	67	33
0	2	2	12	0	12	4	2	4
135	203	245	331	433	195	133	367	113
452	1059	678	671	1240	742	600	737	609
65	152	65	19	58	84	49	75	131
17	34	53	26	32	38	23	69	55
5	2	9	8	19	6	13	30	32
4	16	15	2	20	18	24	9	3
0	0	1	1	0	0	0	0	0
30	16	35	13	33	27	10	0	0
123	1291	510	157	773	223	1861	831	1120
9	23	4	0	2	5	40	0	20
45	18	27	13	34	47	26	101	33
0	0	4	0	0	0	0	0	0
180	786	341	310	578	241	362	214	245
33	80	42	72	159	263	179	40	49
10	13	1	15	14	18	9	0	4
1	2	6	0	6	0	3	2	0
122	211	222	211	292	423	215	225	231
18	26	29	12	28	20	29	27	23
13	7	11	10	19	10	9	5	16
30	32	52	55	50	117	67	54	79
2487	543	834	958	531	1045	1354	109	699
72	86	47	77	27	14	68	9	14
85	129	62	158	165	179	166	45	118
31	84	46	53	130	69	46	63	87
0	0	0	0	0	0	0	2	0
0	3	0	4	0	1	2	0	0
147	179	102	119	245	231	263	318	191
178	228	102	112	206	212	155	90	80
3	32	10	5	36	47	38	17	20
13	58	7	6	73	84	95	2	28
38	112	68	33	70	33	18	38	9
3	1	1	0	5	0	1	2	5
505	1031	480	332	1307	621	554	1167	442
0	2	3	0	0	3	4	0	0
32	28	24	10	36	48	20	29	72
0	9	7	21	7	20	10	8	16
